                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.253,                 3.7423,                 1.2893,                0.00847,                0.50357,                 0.1969,                0.14805,                0.92402,                 3.6756,                0.95982,                0.00015,                0.00015,                0.00015
                      2,                 1.1791,                 2.7281,                 1.2267,                0.01034,                0.59177,                0.21465,                0.15079,                0.97107,                 3.4966,                 1.0114,             0.00030941,             0.00030941,             0.00030941
                      3,                 1.2063,                 1.8546,                 1.2357,                0.74172,                0.15909,                0.45194,                0.33468,                 1.0711,                 3.0498,                 1.1197,              0.0004656,              0.0004656,              0.0004656
                      4,                 1.1767,                 1.7736,                 1.2391,                0.72533,                0.15747,                0.43556,                0.32968,                 1.1261,                 3.0229,                 1.1933,             0.00061857,             0.00061857,             0.00061857
                      5,                 1.2269,                 1.5946,                 1.2565,                0.67864,                0.18831,                0.52525,                0.38881,                 1.0664,                 2.9042,                 1.0976,             0.00076832,             0.00076832,             0.00076832
                      6,                 1.2034,                 1.4791,                 1.2456,                0.60134,                0.28218,                0.57419,                0.34814,                 1.2476,                  2.709,                 1.1846,             0.00091486,             0.00091486,             0.00091486
                      7,                 1.1802,                 1.4714,                 1.2233,                0.71415,                0.72734,                0.81863,                0.55247,                  1.258,                  2.145,                 1.2469,              0.0010582,              0.0010582,              0.0010582
                      8,                  1.163,                 1.3504,                 1.2283,                0.67892,                0.59019,                0.68264,                0.46919,                 1.2659,                 2.3019,                 1.1554,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.1561,                 1.3458,                 1.2264,                0.71239,                0.69396,                0.72022,                0.50389,                 1.2967,                 2.0172,                 1.2517,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.1747,                 1.3382,                 1.2377,                0.71287,                0.76893,                0.80378,                0.54078,                 1.2788,                 1.8331,                 1.1657,               0.001151,               0.001151,               0.001151
                     11,                 1.1556,                  1.225,                  1.208,                0.85975,                0.76431,                0.85287,                0.61177,                 1.1462,                 1.5734,                 1.0645,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.1287,                 1.2945,                 1.1949,                0.79969,                0.81377,                0.84094,                0.55912,                 1.3436,                 1.4766,                 1.2378,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.1137,                 1.2757,                 1.2078,                0.76186,                0.80072,                0.82356,                0.57147,                 1.2476,                 1.5566,                 1.1914,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.1321,                 1.1954,                  1.187,                0.91325,                0.82348,                0.91805,                0.62266,                 1.1427,                 1.3312,                  1.113,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.1177,                 1.1386,                 1.1908,                0.84357,                0.68957,                0.83374,                0.56986,                  1.231,                 1.5991,                 1.2095,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.1151,                 1.1448,                 1.2088,                0.85364,                0.85142,                0.90307,                0.61157,                 1.2137,                  1.322,                 1.1884,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.0909,                 1.1435,                 1.2103,                0.89656,                0.81632,                0.89876,                0.63719,                 1.2258,                 1.2318,                 1.1682,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.0742,                 1.1052,                  1.171,                0.83718,                0.83872,                0.91014,                0.66644,                 1.1614,                 1.1866,                 1.1034,               0.001052,               0.001052,               0.001052
                     19,                 1.0586,                 1.0699,                 1.1644,                0.85696,                0.81938,                0.90498,                0.66685,                 1.1543,                 1.1365,                  1.107,              0.0010396,              0.0010396,              0.0010396
                     20,                 1.0065,                 1.0326,                 1.1281,                0.86718,                0.88902,                0.90907,                0.60536,                  1.309,                 1.1126,                  1.217,              0.0010273,              0.0010273,              0.0010273
                     21,                 1.0255,                 1.0201,                 1.1262,                0.86753,                0.87057,                0.88873,                 0.6078,                  1.288,                 1.2023,                  1.207,              0.0010149,              0.0010149,              0.0010149
                     22,                 1.0281,                 0.9901,                 1.1465,                0.83666,                 0.9213,                 0.9001,                0.62436,                 1.2218,                 1.2578,                 1.1617,              0.0010025,              0.0010025,              0.0010025
                     23,                 1.0176,                 0.9692,                 1.1355,                0.83258,                0.86255,                0.87283,                0.58746,                 1.2637,                 1.2953,                  1.207,             0.00099013,             0.00099013,             0.00099013
                     24,                0.99891,                0.97397,                 1.1308,                0.85994,                 0.8985,                 0.9023,                0.60875,                 1.2134,                 1.2247,                 1.1971,             0.00097775,             0.00097775,             0.00097775
                     25,                0.97388,                0.91839,                 1.0933,                0.81706,                 0.8056,                0.83904,                0.54078,                 1.3017,                 1.3361,                 1.2398,             0.00096537,             0.00096537,             0.00096537
                     26,                0.97518,                0.92101,                 1.1171,                0.85643,                0.85401,                0.90192,                 0.6288,                 1.1737,                 1.2176,                 1.1699,               0.000953,               0.000953,               0.000953
                     27,                0.97361,                0.91198,                 1.1122,                0.85923,                0.88005,                0.89657,                0.64095,                 1.1767,                 1.1103,                 1.1657,             0.00094062,             0.00094062,             0.00094062
                     28,                0.95088,                0.91043,                 1.0777,                0.78543,                0.80826,                0.88934,                0.62976,                 1.1445,                  1.235,                 1.1267,             0.00092825,             0.00092825,             0.00092825
                     29,                0.93902,                 0.8468,                 1.0774,                0.85087,                0.86262,                0.91876,                0.60818,                 1.2243,                  1.054,                  1.205,             0.00091588,             0.00091588,             0.00091588
                     30,                0.94601,                0.87237,                 1.0962,                0.83492,                0.85329,                0.89483,                0.56471,                 1.3999,                 1.1355,                  1.296,              0.0009035,              0.0009035,              0.0009035
                     31,                0.96524,                0.88119,                  1.104,                   0.85,                0.86191,                0.91394,                0.63731,                 1.2536,                 1.2263,                 1.2023,             0.00089112,             0.00089112,             0.00089112
                     32,                 0.9588,                0.85586,                 1.0912,                0.92798,                0.90634,                  0.946,                0.61636,                 1.2755,                 1.0222,                 1.2306,             0.00087875,             0.00087875,             0.00087875
                     33,                0.90662,                0.82686,                 1.0718,                0.86252,                0.86888,                0.89366,                  0.631,                 1.1897,                 1.0828,                 1.1457,             0.00086637,             0.00086637,             0.00086637
